'x' ; 'y',5*cos(x)
-6.0;4.801
-5.99;4.787
-5.98;4.772
-5.97;4.757
-5.96;4.741
-5.95;4.725
-5.94;4.708
-5.93;4.691
-5.92;4.674
-5.91;4.656
-5.9;4.637
-5.89;4.618
-5.88;4.599
-5.87;4.579
-5.86;4.559
-5.85;4.538
-5.84;4.517
-5.83;4.495
-5.82;4.473
-5.81;4.451
-5.8;4.428
-5.79;4.404
-5.78;4.38
-5.77;4.356
-5.76;4.331
-5.75;4.306
-5.74;4.28
-5.73;4.254
-5.72;4.228
-5.71;4.201
-5.7;4.174
-5.69;4.146
-5.68;4.118
-5.67;4.089
-5.66;4.06
-5.65;4.031
-5.64;4.001
-5.63;3.971
-5.62;3.94
-5.61;3.909
-5.6;3.878
-5.59;3.846
-5.58;3.814
-5.57;3.781
-5.56;3.749
-5.55;3.715
-5.54;3.682
-5.53;3.648
-5.52;3.613
-5.51;3.578
-5.5;3.543
-5.49;3.508
-5.48;3.472
-5.47;3.436
-5.46;3.399
-5.45;3.363
-5.44;3.325
-5.43;3.288
-5.42;3.25
-5.41;3.212
-5.4;3.173
-5.39;3.135
-5.38;3.096
-5.37;3.056
-5.36;3.016
-5.35;2.976
-5.34;2.936
-5.33;2.895
-5.32;2.855
-5.31;2.813
-5.3;2.772
-5.29;2.73
-5.28;2.688
-5.27;2.646
-5.26;2.603
-5.25;2.56
-5.24;2.517
-5.23;2.474
-5.22;2.43
-5.21;2.387
-5.2;2.343
-5.19;2.298
-5.18;2.254
-5.17;2.209
-5.16;2.164
-5.15;2.119
-5.14;2.073
-5.13;2.028
-5.12;1.982
-5.11;1.936
-5.1;1.89
-5.09;1.844
-5.08;1.797
-5.07;1.75
-5.06;1.703
-5.05;1.656
-5.04;1.609
-5.03;1.561
-5.02;1.514
-5.01;1.466
-5.0;1.418
-4.99;1.37
-4.98;1.322
-4.97;1.274
-4.96;1.225
-4.95;1.177
-4.94;1.128
-4.93;1.079
-4.92;1.031
-4.91;0.982
-4.9;0.933
-4.89;0.883
-4.88;0.834
-4.87;0.785
-4.86;0.735
-4.85;0.686
-4.84;0.636
-4.83;0.587
-4.82;0.537
-4.81;0.487
-4.8;0.437
-4.79;0.388
-4.78;0.338
-4.77;0.288
-4.76;0.238
-4.75;0.188
-4.74;0.138
-4.73;0.088
-4.72;0.038
-4.71;-0.012
-4.7;-0.062
-4.69;-0.112
-4.68;-0.162
-4.67;-0.212
-4.66;-0.262
-4.65;-0.312
-4.64;-0.362
-4.63;-0.411
-4.62;-0.461
-4.61;-0.511
-4.6;-0.561
-4.59;-0.61
-4.58;-0.66
-4.57;-0.71
-4.56;-0.759
-4.55;-0.808
-4.54;-0.858
-4.53;-0.907
-4.52;-0.956
-4.51;-1.005
-4.5;-1.054
-4.49;-1.103
-4.48;-1.152
-4.47;-1.2
-4.46;-1.249
-4.45;-1.297
-4.44;-1.345
-4.43;-1.393
-4.42;-1.441
-4.41;-1.489
-4.4;-1.537
-4.39;-1.584
-4.38;-1.632
-4.37;-1.679
-4.36;-1.726
-4.35;-1.773
-4.34;-1.819
-4.33;-1.866
-4.32;-1.912
-4.31;-1.958
-4.3;-2.004
-4.29;-2.05
-4.28;-2.095
-4.27;-2.14
-4.26;-2.186
-4.25;-2.23
-4.24;-2.275
-4.23;-2.319
-4.22;-2.364
-4.21;-2.408
-4.2;-2.451
-4.19;-2.495
-4.18;-2.538
-4.17;-2.581
-4.16;-2.624
-4.15;-2.666
-4.14;-2.708
-4.13;-2.75
-4.12;-2.792
-4.11;-2.833
-4.1;-2.874
-4.09;-2.915
-4.08;-2.955
-4.07;-2.996
-4.06;-3.035
-4.05;-3.075
-4.04;-3.114
-4.03;-3.153
-4.02;-3.192
-4.01;-3.23
-4.0;-3.268
-3.99;-3.306
-3.98;-3.343
-3.97;-3.38
-3.96;-3.417
-3.95;-3.453
-3.94;-3.489
-3.93;-3.525
-3.92;-3.56
-3.91;-3.595
-3.9;-3.63
-3.89;-3.664
-3.88;-3.698
-3.87;-3.731
-3.86;-3.764
-3.85;-3.797
-3.84;-3.829
-3.83;-3.861
-3.82;-3.893
-3.81;-3.924
-3.8;-3.955
-3.79;-3.985
-3.78;-4.015
-3.77;-4.045
-3.76;-4.074
-3.75;-4.103
-3.74;-4.131
-3.73;-4.159
-3.72;-4.187
-3.71;-4.214
-3.7;-4.241
-3.69;-4.267
-3.68;-4.293
-3.67;-4.318
-3.66;-4.343
-3.65;-4.368
-3.64;-4.392
-3.63;-4.415
-3.62;-4.439
-3.61;-4.461
-3.6;-4.484
-3.59;-4.506
-3.58;-4.527
-3.57;-4.548
-3.56;-4.569
-3.55;-4.589
-3.54;-4.608
-3.53;-4.628
-3.52;-4.646
-3.51;-4.665
-3.5;-4.682
-3.49;-4.7
-3.48;-4.716
-3.47;-4.733
-3.46;-4.749
-3.45;-4.764
-3.44;-4.779
-3.43;-4.793
-3.42;-4.807
-3.41;-4.821
-3.4;-4.834
-3.39;-4.847
-3.38;-4.859
-3.37;-4.87
-3.36;-4.881
-3.35;-4.892
-3.34;-4.902
-3.33;-4.912
-3.32;-4.921
-3.31;-4.929
-3.3;-4.937
-3.29;-4.945
-3.28;-4.952
-3.27;-4.959
-3.26;-4.965
-3.25;-4.971
-3.24;-4.976
-3.23;-4.98
-3.22;-4.985
-3.21;-4.988
-3.2;-4.991
-3.19;-4.994
-3.18;-4.996
-3.17;-4.998
-3.16;-4.999
-3.15;-5.0
-3.14;-5.0
-3.13;-5.0
-3.12;-4.999
-3.11;-4.998
-3.1;-4.996
-3.09;-4.993
-3.08;-4.991
-3.07;-4.987
-3.06;-4.983
-3.05;-4.979
-3.04;-4.974
-3.03;-4.969
-3.02;-4.963
-3.01;-4.957
-3.0;-4.95
-2.99;-4.943
-2.98;-4.935
-2.97;-4.927
-2.96;-4.918
-2.95;-4.909
-2.94;-4.899
-2.93;-4.888
-2.92;-4.878
-2.91;-4.867
-2.9;-4.855
-2.89;-4.843
-2.88;-4.83
-2.87;-4.817
-2.86;-4.803
-2.85;-4.789
-2.84;-4.774
-2.83;-4.759
-2.82;-4.744
-2.81;-4.728
-2.8;-4.711
-2.79;-4.694
-2.78;-4.677
-2.77;-4.659
-2.76;-4.64
-2.75;-4.622
-2.74;-4.602
-2.73;-4.582
-2.72;-4.562
-2.71;-4.542
-2.7;-4.52
-2.69;-4.499
-2.68;-4.477
-2.67;-4.454
-2.66;-4.431
-2.65;-4.408
-2.64;-4.384
-2.63;-4.36
-2.62;-4.335
-2.61;-4.31
-2.6;-4.284
-2.59;-4.258
-2.58;-4.232
-2.57;-4.205
-2.56;-4.178
-2.55;-4.15
-2.54;-4.122
-2.53;-4.094
-2.52;-4.065
-2.51;-4.035
-2.5;-4.006
-2.49;-3.976
-2.48;-3.945
-2.47;-3.914
-2.46;-3.883
-2.45;-3.851
-2.44;-3.819
-2.43;-3.787
-2.42;-3.754
-2.41;-3.721
-2.4;-3.687
-2.39;-3.653
-2.38;-3.619
-2.37;-3.584
-2.36;-3.549
-2.35;-3.514
-2.34;-3.478
