'x' ; 'y',2*sin(x)
-6.0;0.559
-5.99;0.578
-5.98;0.597
-5.97;0.616
-5.96;0.635
-5.95;0.654
-5.94;0.673
-5.93;0.692
-5.92;0.711
-5.91;0.729
-5.9;0.748
-5.89;0.766
-5.88;0.785
-5.87;0.803
-5.86;0.821
-5.85;0.84
-5.84;0.858
-5.83;0.876
-5.82;0.894
-5.81;0.911
-5.8;0.929
-5.79;0.947
-5.78;0.964
-5.77;0.982
-5.76;0.999
-5.75;1.017
-5.74;1.034
-5.73;1.051
-5.72;1.068
-5.71;1.085
-5.7;1.101
-5.69;1.118
-5.68;1.135
-5.67;1.151
-5.66;1.167
-5.65;1.183
-5.64;1.199
-5.63;1.215
-5.62;1.231
-5.61;1.247
-5.6;1.263
-5.59;1.278
-5.58;1.293
-5.57;1.308
-5.56;1.324
-5.55;1.338
-5.54;1.353
-5.53;1.368
-5.52;1.382
-5.51;1.397
-5.5;1.411
-5.49;1.425
-5.48;1.439
-5.47;1.453
-5.46;1.467
-5.45;1.48
-5.44;1.494
-5.43;1.507
-5.42;1.52
-5.41;1.533
-5.4;1.546
-5.39;1.558
-5.38;1.571
-5.37;1.583
-5.36;1.595
-5.35;1.607
-5.34;1.619
-5.33;1.631
-5.32;1.642
-5.31;1.653
-5.3;1.665
-5.29;1.676
-5.28;1.686
-5.27;1.697
-5.26;1.708
-5.25;1.718
-5.24;1.728
-5.23;1.738
-5.22;1.748
-5.21;1.757
-5.2;1.767
-5.19;1.776
-5.18;1.785
-5.17;1.794
-5.16;1.803
-5.15;1.812
-5.14;1.82
-5.13;1.828
-5.12;1.836
-5.11;1.844
-5.1;1.852
-5.09;1.859
-5.08;1.866
-5.07;1.873
-5.06;1.88
-5.05;1.887
-5.04;1.894
-5.03;1.9
-5.02;1.906
-5.01;1.912
-5.0;1.918
-4.99;1.923
-4.98;1.929
-4.97;1.934
-4.96;1.939
-4.95;1.944
-4.94;1.948
-4.93;1.953
-4.92;1.957
-4.91;1.961
-4.9;1.965
-4.89;1.969
-4.88;1.972
-4.87;1.975
-4.86;1.978
-4.85;1.981
-4.84;1.984
-4.83;1.986
-4.82;1.988
-4.81;1.99
-4.8;1.992
-4.79;1.994
-4.78;1.995
-4.77;1.997
-4.76;1.998
-4.75;1.999
-4.74;1.999
-4.73;2.0
-4.72;2.0
-4.71;2.0
-4.7;2.0
-4.69;1.999
-4.68;1.999
-4.67;1.998
-4.66;1.997
-4.65;1.996
-4.64;1.995
-4.63;1.993
-4.62;1.991
-4.61;1.99
-4.6;1.987
-4.59;1.985
-4.58;1.982
-4.57;1.98
-4.56;1.977
-4.55;1.974
-4.54;1.97
-4.53;1.967
-4.52;1.963
-4.51;1.959
-4.5;1.955
-4.49;1.951
-4.48;1.946
-4.47;1.942
-4.46;1.937
-4.45;1.932
-4.44;1.926
-4.43;1.921
-4.42;1.915
-4.41;1.909
-4.4;1.903
-4.39;1.897
-4.38;1.891
-4.37;1.884
-4.36;1.877
-4.35;1.87
-4.34;1.863
-4.33;1.856
-4.32;1.848
-4.31;1.84
-4.3;1.832
-4.29;1.824
-4.28;1.816
-4.27;1.807
-4.26;1.799
-4.25;1.79
-4.24;1.781
-4.23;1.772
-4.22;1.762
-4.21;1.753
-4.2;1.743
-4.19;1.733
-4.18;1.723
-4.17;1.713
-4.16;1.703
-4.15;1.692
-4.14;1.681
-4.13;1.67
-4.12;1.659
-4.11;1.648
-4.1;1.637
-4.09;1.625
-4.08;1.613
-4.07;1.601
-4.06;1.589
-4.05;1.577
-4.04;1.565
-4.03;1.552
-4.02;1.539
-4.01;1.527
-4.0;1.514
-3.99;1.5
-3.98;1.487
-3.97;1.474
-3.96;1.46
-3.95;1.446
-3.94;1.432
-3.93;1.418
-3.92;1.404
-3.91;1.39
-3.9;1.376
-3.89;1.361
-3.88;1.346
-3.87;1.331
-3.86;1.316
-3.85;1.301
-3.84;1.286
-3.83;1.271
-3.82;1.255
-3.81;1.239
-3.8;1.224
-3.79;1.208
-3.78;1.192
-3.77;1.176
-3.76;1.159
-3.75;1.143
-3.74;1.127
-3.73;1.11
-3.72;1.093
-3.71;1.077
-3.7;1.06
-3.69;1.043
-3.68;1.026
-3.67;1.008
-3.66;0.991
-3.65;0.974
-3.64;0.956
-3.63;0.938
-3.62;0.921
-3.61;0.903
-3.6;0.885
-3.59;0.867
-3.58;0.849
-3.57;0.831
-3.56;0.813
-3.55;0.794
-3.54;0.776
-3.53;0.757
-3.52;0.739
-3.51;0.72
-3.5;0.702
-3.49;0.683
-3.48;0.664
-3.47;0.645
-3.46;0.626
-3.45;0.607
-3.44;0.588
-3.43;0.569
-3.42;0.55
-3.41;0.53
-3.4;0.511
-3.39;0.492
-3.38;0.472
-3.37;0.453
-3.36;0.433
-3.35;0.414
-3.34;0.394
-3.33;0.375
-3.32;0.355
-3.31;0.335
-3.3;0.315
-3.29;0.296
-3.28;0.276
-3.27;0.256
-3.26;0.236
-3.25;0.216
-3.24;0.196
-3.23;0.177
-3.22;0.157
-3.21;0.137
-3.2;0.117
-3.19;0.097
-3.18;0.077
-3.17;0.057
-3.16;0.037
-3.15;0.017
-3.14;-0.003
-3.13;-0.023
-3.12;-0.043
-3.11;-0.063
-3.1;-0.083
-3.09;-0.103
-3.08;-0.123
-3.07;-0.143
-3.06;-0.163
-3.05;-0.183
-3.04;-0.203
-3.03;-0.223
-3.02;-0.243
-3.01;-0.262
-3.0;-0.282
-2.99;-0.302
-2.98;-0.322
-2.97;-0.342
-2.96;-0.361
-2.95;-0.381
-2.94;-0.4
-2.93;-0.42
-2.92;-0.44
-2.91;-0.459
-2.9;-0.478
-2.89;-0.498
-2.88;-0.517
-2.87;-0.537
-2.86;-0.556
-2.85;-0.575
-2.84;-0.594
-2.83;-0.613
-2.82;-0.632
-2.81;-0.651
-2.8;-0.67
-2.79;-0.689
-2.78;-0.708
-2.77;-0.726
-2.76;-0.745
-2.75;-0.763
-2.74;-0.782
-2.73;-0.8
-2.72;-0.818
-2.71;-0.837
-2.7;-0.855
-2.69;-0.873
-2.68;-0.891
-2.67;-0.909
-2.66;-0.926
-2.65;-0.944
-2.64;-0.962
-2.63;-0.979
-2.62;-0.997
-2.61;-1.014
-2.6;-1.031
-2.59;-1.048
-2.58;-1.065
-2.57;-1.082
-2.56;-1.099
-2.55;-1.115
-2.54;-1.132
-2.53;-1.148
-2.52;-1.165
-2.51;-1.181
-2.5;-1.197
-2.49;-1.213
-2.48;-1.229
-2.47;-1.244
-2.46;-1.26
-2.45;-1.276
-2.44;-1.291
-2.43;-1.306
-2.42;-1.321
-2.41;-1.336
-2.4;-1.351
-2.39;-1.366
-2.38;-1.38
-2.37;-1.395
-2.36;-1.409
-2.35;-1.423
-2.34;-1.437
-2.33;-1.451
-2.32;-1.464
-2.31;-1.478
-2.3;-1.491
-2.29;-1.505
-2.28;-1.518
-2.27;-1.531
-2.26;-1.544
-2.25;-1.556
-2.24;-1.569
-2.23;-1.581
-2.22;-1.593
-2.21;-1.605
-2.2;-1.617
-2.19;-1.629
-2.18;-1.64
-2.17;-1.652
-2.16;-1.663
-2.15;-1.674
-2.14;-1.685
-2.13;-1.695
-2.12;-1.706
-2.11;-1.716
-2.1;-1.726
-2.09;-1.736
