'x' ; 'y',2*x**2+4*x+4
-6.0;52.0
-5.99;51.8
-5.98;51.601
-5.97;51.402
-5.96;51.203
-5.95;51.005
-5.94;50.807
-5.93;50.61
-5.92;50.413
-5.91;50.216
-5.9;50.02
-5.89;49.824
-5.88;49.629
-5.87;49.434
-5.86;49.239
-5.85;49.045
-5.84;48.851
-5.83;48.658
-5.82;48.465
-5.81;48.272
-5.8;48.08
-5.79;47.888
-5.78;47.697
-5.77;47.506
-5.76;47.315
-5.75;47.125
-5.74;46.935
-5.73;46.746
-5.72;46.557
-5.71;46.368
-5.7;46.18
-5.69;45.992
-5.68;45.805
-5.67;45.618
-5.66;45.431
-5.65;45.245
-5.64;45.059
-5.63;44.874
-5.62;44.689
-5.61;44.504
-5.6;44.32
-5.59;44.136
-5.58;43.953
-5.57;43.77
-5.56;43.587
-5.55;43.405
-5.54;43.223
-5.53;43.042
-5.52;42.861
-5.51;42.68
-5.5;42.5
-5.49;42.32
-5.48;42.141
-5.47;41.962
-5.46;41.783
-5.45;41.605
-5.44;41.427
-5.43;41.25
-5.42;41.073
-5.41;40.896
-5.4;40.72
-5.39;40.544
-5.38;40.369
-5.37;40.194
-5.36;40.019
-5.35;39.845
-5.34;39.671
-5.33;39.498
-5.32;39.325
-5.31;39.152
-5.3;38.98
-5.29;38.808
-5.28;38.637
-5.27;38.466
-5.26;38.295
-5.25;38.125
-5.24;37.955
-5.23;37.786
-5.22;37.617
-5.21;37.448
-5.2;37.28
-5.19;37.112
-5.18;36.945
-5.17;36.778
-5.16;36.611
-5.15;36.445
-5.14;36.279
-5.13;36.114
-5.12;35.949
-5.11;35.784
-5.1;35.62
-5.09;35.456
-5.08;35.293
-5.07;35.13
-5.06;34.967
-5.05;34.805
-5.04;34.643
-5.03;34.482
-5.02;34.321
-5.01;34.16
-5.0;34.0
-4.99;33.84
-4.98;33.681
-4.97;33.522
-4.96;33.363
-4.95;33.205
-4.94;33.047
-4.93;32.89
-4.92;32.733
-4.91;32.576
-4.9;32.42
-4.89;32.264
-4.88;32.109
-4.87;31.954
-4.86;31.799
-4.85;31.645
-4.84;31.491
-4.83;31.338
-4.82;31.185
-4.81;31.032
-4.8;30.88
-4.79;30.728
-4.78;30.577
-4.77;30.426
-4.76;30.275
-4.75;30.125
-4.74;29.975
-4.73;29.826
-4.72;29.677
-4.71;29.528
-4.7;29.38
-4.69;29.232
-4.68;29.085
-4.67;28.938
-4.66;28.791
-4.65;28.645
-4.64;28.499
-4.63;28.354
-4.62;28.209
-4.61;28.064
-4.6;27.92
-4.59;27.776
-4.58;27.633
-4.57;27.49
-4.56;27.347
-4.55;27.205
-4.54;27.063
-4.53;26.922
-4.52;26.781
-4.51;26.64
-4.5;26.5
-4.49;26.36
-4.48;26.221
-4.47;26.082
-4.46;25.943
-4.45;25.805
-4.44;25.667
-4.43;25.53
-4.42;25.393
-4.41;25.256
-4.4;25.12
-4.39;24.984
-4.38;24.849
-4.37;24.714
-4.36;24.579
-4.35;24.445
-4.34;24.311
-4.33;24.178
-4.32;24.045
-4.31;23.912
-4.3;23.78
-4.29;23.648
-4.28;23.517
-4.27;23.386
-4.26;23.255
-4.25;23.125
-4.24;22.995
-4.23;22.866
-4.22;22.737
-4.21;22.608
-4.2;22.48
-4.19;22.352
-4.18;22.225
-4.17;22.098
-4.16;21.971
-4.15;21.845
-4.14;21.719
-4.13;21.594
-4.12;21.469
-4.11;21.344
-4.1;21.22
-4.09;21.096
-4.08;20.973
-4.07;20.85
-4.06;20.727
-4.05;20.605
-4.04;20.483
-4.03;20.362
-4.02;20.241
-4.01;20.12
-4.0;20.0
-3.99;19.88
-3.98;19.761
-3.97;19.642
-3.96;19.523
-3.95;19.405
-3.94;19.287
-3.93;19.17
-3.92;19.053
-3.91;18.936
-3.9;18.82
-3.89;18.704
-3.88;18.589
-3.87;18.474
-3.86;18.359
-3.85;18.245
-3.84;18.131
-3.83;18.018
-3.82;17.905
-3.81;17.792
-3.8;17.68
-3.79;17.568
-3.78;17.457
-3.77;17.346
-3.76;17.235
-3.75;17.125
-3.74;17.015
-3.73;16.906
-3.72;16.797
-3.71;16.688
-3.7;16.58
-3.69;16.472
-3.68;16.365
-3.67;16.258
-3.66;16.151
-3.65;16.045
-3.64;15.939
-3.63;15.834
-3.62;15.729
-3.61;15.624
-3.6;15.52
-3.59;15.416
-3.58;15.313
-3.57;15.21
-3.56;15.107
-3.55;15.005
-3.54;14.903
-3.53;14.802
-3.52;14.701
-3.51;14.6
-3.5;14.5
-3.49;14.4
-3.48;14.301
-3.47;14.202
-3.46;14.103
-3.45;14.005
-3.44;13.907
-3.43;13.81
-3.42;13.713
-3.41;13.616
-3.4;13.52
-3.39;13.424
-3.38;13.329
-3.37;13.234
-3.36;13.139
-3.35;13.045
-3.34;12.951
-3.33;12.858
-3.32;12.765
-3.31;12.672
-3.3;12.58
-3.29;12.488
-3.28;12.397
-3.27;12.306
-3.26;12.215
-3.25;12.125
-3.24;12.035
-3.23;11.946
-3.22;11.857
-3.21;11.768
-3.2;11.68
-3.19;11.592
-3.18;11.505
-3.17;11.418
-3.16;11.331
-3.15;11.245
-3.14;11.159
-3.13;11.074
-3.12;10.989
-3.11;10.904
-3.1;10.82
-3.09;10.736
-3.08;10.653
-3.07;10.57
-3.06;10.487
-3.05;10.405
-3.04;10.323
-3.03;10.242
-3.02;10.161
-3.01;10.08
-3.0;10.0
-2.99;9.92
-2.98;9.841
-2.97;9.762
-2.96;9.683
-2.95;9.605
-2.94;9.527
-2.93;9.45
-2.92;9.373
-2.91;9.296
-2.9;9.22
-2.89;9.144
-2.88;9.069
-2.87;8.994
-2.86;8.919
-2.85;8.845
-2.84;8.771
-2.83;8.698
-2.82;8.625
-2.81;8.552
-2.8;8.48
-2.79;8.408
-2.78;8.337
-2.77;8.266
-2.76;8.195
-2.75;8.125
-2.74;8.055
-2.73;7.986
-2.72;7.917
-2.71;7.848
-2.7;7.78
-2.69;7.712
-2.68;7.645
-2.67;7.578
-2.66;7.511
-2.65;7.445
-2.64;7.379
-2.63;7.314
-2.62;7.249
-2.61;7.184
-2.6;7.12
-2.59;7.056
-2.58;6.993
-2.57;6.93
-2.56;6.867
-2.55;6.805
-2.54;6.743
-2.53;6.682
-2.52;6.621
-2.51;6.56
-2.5;6.5
-2.49;6.44
-2.48;6.381
-2.47;6.322
-2.46;6.263
-2.45;6.205
-2.44;6.147
-2.43;6.09
-2.42;6.033
-2.41;5.976
-2.4;5.92
-2.39;5.864
-2.38;5.809
-2.37;5.754
-2.36;5.699
-2.35;5.645
-2.34;5.591
-2.33;5.538
-2.32;5.485
-2.31;5.432
-2.3;5.38
-2.29;5.328
-2.28;5.277
-2.27;5.226
-2.26;5.175
-2.25;5.125
-2.24;5.075
-2.23;5.026
-2.22;4.977
-2.21;4.928
-2.2;4.88
-2.19;4.832
-2.18;4.785
-2.17;4.738
-2.16;4.691
-2.15;4.645
-2.14;4.599
-2.13;4.554
-2.12;4.509
-2.11;4.464
-2.1;4.42
-2.09;4.376
-2.08;4.333
