'x' ; 'y',x / (x+100)
-6.0;-0.064
-5.99;-0.064
-5.98;-0.064
-5.97;-0.063
-5.96;-0.063
-5.95;-0.063
-5.94;-0.063
-5.93;-0.063
-5.92;-0.063
-5.91;-0.063
-5.9;-0.063
-5.89;-0.063
-5.88;-0.062
-5.87;-0.062
-5.86;-0.062
-5.85;-0.062
-5.84;-0.062
-5.83;-0.062
-5.82;-0.062
-5.81;-0.062
-5.8;-0.062
-5.79;-0.061
-5.78;-0.061
-5.77;-0.061
-5.76;-0.061
-5.75;-0.061
-5.74;-0.061
-5.73;-0.061
-5.72;-0.061
-5.71;-0.061
-5.7;-0.06
-5.69;-0.06
-5.68;-0.06
-5.67;-0.06
-5.66;-0.06
-5.65;-0.06
-5.64;-0.06
-5.63;-0.06
-5.62;-0.06
-5.61;-0.059
-5.6;-0.059
-5.59;-0.059
-5.58;-0.059
-5.57;-0.059
-5.56;-0.059
-5.55;-0.059
-5.54;-0.059
-5.53;-0.059
-5.52;-0.058
-5.51;-0.058
-5.5;-0.058
-5.49;-0.058
-5.48;-0.058
-5.47;-0.058
-5.46;-0.058
-5.45;-0.058
-5.44;-0.058
-5.43;-0.057
-5.42;-0.057
-5.41;-0.057
-5.4;-0.057
-5.39;-0.057
-5.38;-0.057
-5.37;-0.057
-5.36;-0.057
-5.35;-0.057
-5.34;-0.056
-5.33;-0.056
-5.32;-0.056
-5.31;-0.056
-5.3;-0.056
-5.29;-0.056
-5.28;-0.056
-5.27;-0.056
-5.26;-0.056
-5.25;-0.055
-5.24;-0.055
-5.23;-0.055
-5.22;-0.055
-5.21;-0.055
-5.2;-0.055
-5.19;-0.055
-5.18;-0.055
-5.17;-0.055
-5.16;-0.054
-5.15;-0.054
-5.14;-0.054
-5.13;-0.054
-5.12;-0.054
-5.11;-0.054
-5.1;-0.054
-5.09;-0.054
-5.08;-0.054
-5.07;-0.053
-5.06;-0.053
-5.05;-0.053
-5.04;-0.053
-5.03;-0.053
-5.02;-0.053
-5.01;-0.053
-5.0;-0.053
-4.99;-0.053
-4.98;-0.052
-4.97;-0.052
-4.96;-0.052
-4.95;-0.052
-4.94;-0.052
-4.93;-0.052
-4.92;-0.052
-4.91;-0.052
-4.9;-0.052
-4.89;-0.051
-4.88;-0.051
-4.87;-0.051
-4.86;-0.051
-4.85;-0.051
-4.84;-0.051
-4.83;-0.051
-4.82;-0.051
-4.81;-0.051
-4.8;-0.05
-4.79;-0.05
-4.78;-0.05
-4.77;-0.05
-4.76;-0.05
-4.75;-0.05
-4.74;-0.05
-4.73;-0.05
-4.72;-0.05
-4.71;-0.049
-4.7;-0.049
-4.69;-0.049
-4.68;-0.049
-4.67;-0.049
-4.66;-0.049
-4.65;-0.049
-4.64;-0.049
-4.63;-0.049
-4.62;-0.048
-4.61;-0.048
-4.6;-0.048
-4.59;-0.048
-4.58;-0.048
-4.57;-0.048
-4.56;-0.048
-4.55;-0.048
-4.54;-0.048
-4.53;-0.047
-4.52;-0.047
-4.51;-0.047
-4.5;-0.047
-4.49;-0.047
-4.48;-0.047
-4.47;-0.047
-4.46;-0.047
-4.45;-0.047
-4.44;-0.046
-4.43;-0.046
-4.42;-0.046
-4.41;-0.046
-4.4;-0.046
-4.39;-0.046
-4.38;-0.046
-4.37;-0.046
-4.36;-0.046
-4.35;-0.045
-4.34;-0.045
-4.33;-0.045
-4.32;-0.045
-4.31;-0.045
-4.3;-0.045
-4.29;-0.045
-4.28;-0.045
-4.27;-0.045
-4.26;-0.044
-4.25;-0.044
-4.24;-0.044
-4.23;-0.044
-4.22;-0.044
-4.21;-0.044
-4.2;-0.044
-4.19;-0.044
-4.18;-0.044
-4.17;-0.044
-4.16;-0.043
-4.15;-0.043
-4.14;-0.043
-4.13;-0.043
-4.12;-0.043
-4.11;-0.043
-4.1;-0.043
-4.09;-0.043
-4.08;-0.043
-4.07;-0.042
-4.06;-0.042
-4.05;-0.042
-4.04;-0.042
-4.03;-0.042
-4.02;-0.042
-4.01;-0.042
-4.0;-0.042
-3.99;-0.042
-3.98;-0.041
-3.97;-0.041
-3.96;-0.041
-3.95;-0.041
-3.94;-0.041
-3.93;-0.041
-3.92;-0.041
-3.91;-0.041
-3.9;-0.041
-3.89;-0.04
-3.88;-0.04
-3.87;-0.04
-3.86;-0.04
-3.85;-0.04
-3.84;-0.04
-3.83;-0.04
-3.82;-0.04
-3.81;-0.04
-3.8;-0.04
-3.79;-0.039
-3.78;-0.039
-3.77;-0.039
-3.76;-0.039
-3.75;-0.039
-3.74;-0.039
-3.73;-0.039
-3.72;-0.039
-3.71;-0.039
-3.7;-0.038
-3.69;-0.038
-3.68;-0.038
-3.67;-0.038
-3.66;-0.038
-3.65;-0.038
-3.64;-0.038
-3.63;-0.038
-3.62;-0.038
-3.61;-0.037
-3.6;-0.037
-3.59;-0.037
-3.58;-0.037
-3.57;-0.037
-3.56;-0.037
-3.55;-0.037
-3.54;-0.037
-3.53;-0.037
-3.52;-0.036
-3.51;-0.036
-3.5;-0.036
-3.49;-0.036
-3.48;-0.036
-3.47;-0.036
-3.46;-0.036
-3.45;-0.036
-3.44;-0.036
-3.43;-0.036
-3.42;-0.035
-3.41;-0.035
-3.4;-0.035
-3.39;-0.035
-3.38;-0.035
-3.37;-0.035
-3.36;-0.035
-3.35;-0.035
-3.34;-0.035
-3.33;-0.034
-3.32;-0.034
-3.31;-0.034
-3.3;-0.034
-3.29;-0.034
-3.28;-0.034
-3.27;-0.034
-3.26;-0.034
-3.25;-0.034
-3.24;-0.033
-3.23;-0.033
-3.22;-0.033
-3.21;-0.033
-3.2;-0.033
-3.19;-0.033
-3.18;-0.033
-3.17;-0.033
-3.16;-0.033
-3.15;-0.033
-3.14;-0.032
-3.13;-0.032
-3.12;-0.032
-3.11;-0.032
-3.1;-0.032
-3.09;-0.032
-3.08;-0.032
-3.07;-0.032
-3.06;-0.032
-3.05;-0.031
-3.04;-0.031
-3.03;-0.031
-3.02;-0.031
-3.01;-0.031
-3.0;-0.031
-2.99;-0.031
-2.98;-0.031
-2.97;-0.031
-2.96;-0.031
-2.95;-0.03
-2.94;-0.03
-2.93;-0.03
-2.92;-0.03
-2.91;-0.03
-2.9;-0.03
-2.89;-0.03
-2.88;-0.03
-2.87;-0.03
-2.86;-0.029
-2.85;-0.029
-2.84;-0.029
-2.83;-0.029
-2.82;-0.029
-2.81;-0.029
-2.8;-0.029
-2.79;-0.029
-2.78;-0.029
-2.77;-0.028
-2.76;-0.028
-2.75;-0.028
-2.74;-0.028
-2.73;-0.028
-2.72;-0.028
-2.71;-0.028
-2.7;-0.028
-2.69;-0.028
-2.68;-0.028
-2.67;-0.027
-2.66;-0.027
-2.65;-0.027
-2.64;-0.027
-2.63;-0.027
-2.62;-0.027
-2.61;-0.027
-2.6;-0.027
-2.59;-0.027
-2.58;-0.026
-2.57;-0.026
-2.56;-0.026
-2.55;-0.026
-2.54;-0.026
-2.53;-0.026
-2.52;-0.026
-2.51;-0.026
-2.5;-0.026
-2.49;-0.026
-2.48;-0.025
-2.47;-0.025
-2.46;-0.025
-2.45;-0.025
-2.44;-0.025
