'x' ; 'y',x**3+x+1
-6.0;-221.0
-5.8;-199.912
-5.6;-180.216
-5.4;-161.864
-5.2;-144.808
-5.0;-129.0
-4.8;-114.392
-4.6;-100.936
-4.4;-88.584
-4.2;-77.288
-4.0;-67.0
-3.8;-57.672
-3.6;-49.256
-3.4;-41.704
-3.2;-34.968
-3.0;-29.0
-2.8;-23.752
-2.6;-19.176
-2.4;-15.224
-2.2;-11.848
-2.0;-9.0
-1.8;-6.632
-1.6;-4.696
-1.4;-3.144
-1.2;-1.928
-1.0;-1.0
-0.8;-0.312
-0.6;0.184
-0.4;0.536
-0.2;0.792
0.0;1.0
0.2;1.208
0.4;1.464
0.6;1.816
0.8;2.312
1.0;3.0
1.2;3.928
1.4;5.144
1.6;6.696
1.8;8.632
2.0;11.0
2.2;13.848
2.4;17.224
2.6;21.176
2.8;25.752
3.0;31.0
3.2;36.968
3.4;43.704
3.6;51.256
3.8;59.672
4.0;69.0
4.2;79.288
4.4;90.584
4.6;102.936
4.8;116.392
5.0;131.0
5.2;146.808
5.4;163.864
5.6;182.216
5.8;201.912
